quote,tags
أنا أقتل الوقت بينما أنتظر الحياة لتغمرني بالمعنى والسعادة.,"['كالفن', 'وهوبز', 'فكاهة']"
لا خير في قوم ليسوا بناصحين، ولا خير في قوم لا يحبون الناصحين.,"['نصائح،', 'اخلاق']"
غزو الإنسان لنفسه هو اعظم غزو يحققه الإنسان في حياته .,['النفس']
هل تريد أن تعرف من أنت؟ لا تسأل. يمثل! الأفعال سوف ترسمك و تحددك.,"['إلهام', 'تحفيز']"
تنتهي حريتك حيث تبدأ حرية الآخرين .,['حرية']
يشعر الناس بالقلق من الأطفال الذين يلعبون بالبنادق ، والمراهقون يشاهدون مقاطع الفيديو العنيفة ؛ نحن خائفون من أن نوعا من ثقافة العنف سوف تستولي عليهم. لا أحد يقلق بشأن استماع الأطفال لآلاف - حرفيا الآلاف - من الأغاني عن القلوب المحطمة والرفض والألم والبؤس والخسارة .,"['موسيقى', 'حزينة']"
نتعلم من الفشل لا من النجاح!,"['خبرة', 'تعلم', 'أخطا']"
يميل الناس إلى تعقيد حياتهم ، كما لو أن الحياة لم تكن معقدة بالفعل بما فيه الكفاية.,"['دروس', 'الحياة']"
في بعض الأحيان ، تقرأ كتابًا ويملأك بهذه الحماسة الإنجيلية الغريبة ، وتصبح مقتنعًا بأن العالم الممزق لن يتم إعادة تجميعه أبدًا ما لم يقرأ جميع البشر الكتاب.,"['كتب', 'قوة', 'الكلمات']"
التعليم جواز السفر إلى المستقبل.,"['علم،', 'معرفة']"
لست الأفضل و لكن لي أسلوبي .. سأظل دائماً اتقبل رأي الناقد و الحاسد ، فالأول يصحح مساري ، و الثاني يزيد من اصراري .,"['تنمية', 'الذات،', 'تحفيز']"
يجب أن يكون المرء في حالة سكر دائمًا. هذا كل ما يهم ... ولكن مع ماذا؟ بالنبيذ ، بالشعر ، أو بالفضيلة كما تختار. لكن تسكر .,"['سكران', 'شعر', 'فضيلة']"
